0,1,tuple_id_1,tuple_id_2
,,A904697,A934068
,,A904700,A960209
,,A904700,A992306
,,A904703,A966468
,,A904704,A942519
,,A904705,A922137
,,A904705,A980100
,,A904707,A962389
,,A904707,A970962
,,A904707,A996436
,,A904708,A914966
,,A904708,A954266
,,A904710,A917152
,,A904710,A918521
,,A904710,A920988
,,A904710,A942461
,,A904714,A906704
,,A904715,A916130
,,A904715,A946860
,,A904715,A961477
,,A904718,A943302
,,A904718,A989003
,,A904719,A924488
,,A904719,A943754
,,A904719,A971385
,,A904719,A983482
,,A904721,A918352
,,A904721,A975561
,,A904721,A976453
,,A904723,A927303
,,A904724,A930535
,,A904724,A965554
,,A904724,A987592
,,A904725,A933440
,,A904725,A959624
,,A904726,A989190
,,A904727,A970310
,,A904728,A918192
,,A904728,A947812
,,A904733,A991630
,,A904736,A916657
,,A904736,A938166
,,A904736,A950907
,,A904736,A973956
,,A904737,A994802
,,A904742,A911457
,,A904744,A907610
,,A904744,A920970
,,A904744,A947026
,,A904744,A949631
,,A904744,A979778
,,A904745,A905855
,,A904745,A945785
,,A904745,A984533
,,A904747,A952535
,,A904749,A959631
,,A904749,A989039
,,A904749,A997010
,,A904750,A919837
,,A904750,A954671
,,A904752,A905500
,,A904752,A908074
,,A904752,A949340
,,A904752,A971723
,,A904753,A913842
,,A904753,A914285
,,A904753,A932525
,,A904753,A955736
,,A904754,A956438
,,A904754,A958234
,,A904754,A962047
,,A904754,A978701
,,A904756,A941771
,,A904756,A943089
,,A904756,A946021
,,A904756,A980630
,,A904761,A909700
,,A904761,A979721
,,A904763,A911411
,,A904763,A957894
,,A904763,A960448
,,A904763,A989596
,,A904763,A996602
,,A904765,A929976
,,A904765,A955851
,,A904765,A977875
,,A904765,A981474
,,A904766,A917800
,,A904766,A955094
,,A904769,A929247
,,A904770,A917919
,,A904770,A942169
,,A904770,A977758
,,A904770,A978434
,,A904770,A980003
,,A904771,A930500
,,A904771,A959513
,,A904771,A962618
,,A904772,A965863
,,A904773,A927512
,,A904773,A933986
,,A904773,A958974
,,A904773,A973166
,,A904773,A991447
,,A904774,A911486
,,A904774,A957698
,,A904777,A953798
,,A904777,A963070
,,A904781,A935509
,,A904781,A960828
,,A904781,A964959
,,A904781,A979360
,,A904781,A985743
,,A904783,A933954
,,A904783,A940554
,,A904783,A984202
,,A904783,A985585
,,A904787,A913813
,,A904787,A967278
,,A904787,A983107
,,A904790,A939073
,,A904792,A921395
,,A904792,A988544
,,A904793,A912158
,,A904793,A937015
,,A904793,A948103
,,A904794,A917163
,,A904794,A975190
,,A904794,A993395
,,A904795,A908057
,,A904795,A914357
,,A904795,A927090
,,A904795,A949398
,,A904795,A970077
,,A904795,A984592
,,A904796,A912711
,,A904796,A935909
,,A904796,A952394
,,A904796,A977782
,,A904796,A981152
,,A904796,A990197
,,A904798,A918845
,,A904798,A940240
,,A904798,A944755
,,A904798,A945737
,,A904798,A961365
,,A904798,A969409
,,A904798,A975824
,,A904799,A993228
,,A904800,A958068
,,A904800,A981230
,,A904801,A914851
,,A904801,A948693
,,A904801,A988413
,,A904802,A936266
,,A904802,A962279
,,A904802,A979027
,,A904804,A974594
,,A904804,A980786
,,A904804,A995672
,,A904807,A975424
,,A904807,A989377
,,A904809,A941975
,,A904809,A961544
,,A904811,A964831
,,A904812,A918015
,,A904812,A964981
,,A904813,A936686
,,A904813,A943236
,,A904813,A989889
,,A904814,A905253
,,A904814,A931120
,,A904814,A976091
,,A904814,A992448
,,A904816,A909542
,,A904816,A912403
,,A904816,A926025
,,A904816,A995964
,,A904819,A972944
,,A904820,A915117
,,A904820,A923691
,,A904820,A931088
,,A904820,A958638
,,A904820,A969410
,,A904820,A984222
,,A904820,A994667
,,A904821,A908130
,,A904821,A934096
,,A904821,A950014
,,A904821,A965829
,,A904821,A996087
,,A904823,A908309
,,A904823,A917669
,,A904823,A956054
,,A904823,A957756
,,A904823,A973379
,,A904823,A980954
,,A904823,A992114
,,A904824,A927704
,,A904825,A938794
,,A904825,A975404
,,A904826,A977840
,,A904830,A912623
,,A904830,A917243
,,A904830,A936891
,,A904830,A945832
,,A904830,A961330
,,A904830,A996154
,,A904832,A973700
,,A904833,A904929
,,A904833,A994192
,,A904834,A925169
,,A904834,A931942
,,A904834,A970495
,,A904835,A911151
,,A904835,A974076
,,A904836,A956289
,,A904836,A974354
,,A904837,A914578
,,A904837,A938879
,,A904837,A939533
,,A904837,A946850
,,A904837,A988628
,,A904838,A908374
,,A904838,A915475
,,A904838,A952226
,,A904838,A962808
,,A904838,A981320
,,A904838,A994299
,,A904839,A912692
,,A904839,A994686
,,A904840,A954251
,,A904843,A952716
,,A904845,A908983
,,A904845,A919558
,,A904847,A975426
,,A904848,A912083
,,A904848,A931639
,,A904848,A931902
,,A904848,A950095
,,A904851,A960981
,,A904854,A929796
,,A904854,A945915
,,A904857,A913343
,,A904857,A914602
,,A904858,A914067
,,A904859,A918040
,,A904859,A983015
,,A904860,A924540
,,A904860,A947957
,,A904860,A951981
,,A904862,A944911
,,A904862,A948575
,,A904864,A990957
,,A904865,A975357
,,A904866,A927399
,,A904866,A952170
,,A904866,A965853
,,A904867,A989995
,,A904869,A925930
,,A904870,A907953
,,A904870,A915651
,,A904870,A917635
,,A904871,A983561
,,A904873,A972411
,,A904877,A922045
,,A904877,A941210
