tuple_id_1,tuple_id_2
A910972,A928582
A911584,A931148
A923519,A931148
A962331,A979517
A904703,A966468
A904705,A922137
A904705,A980100
A921497,A950677
A933110,A950677
A948539,A950677
A949235,A950677
A905467,A972022
A946174,A972022
A931308,A946634
A917475,A947971
A917475,A965513
A920712,A983992
A904750,A919837
A904750,A954671
A904750,A963061
A925231,A971228
A955827,A976377
A966808,A971228
A904765,A977875
A924280,A977875
A955851,A977875
A918900,A986148
A918900,A988595
A922234,A950883
A940033,A986534
A942265,A950883
A920547,A960698
A941570,A960698
A949774,A986306
A969851,A996823
A920118,A945934
A922111,A945934
A949880,A964877
A954435,A998963
A940830,A991724
A907893,A947712
A919038,A947712
A923550,A947712
A924177,A991264
A960466,A991264
A906412,A914267
A916655,A971519
A943142,A971519
A946187,A971519
A908696,A981562
A924428,A939440
A932788,A945745
A932788,A972541
A932788,A978599
A932788,A979773
A932788,A998444
A932788,A998619
A942408,A945745
A942408,A972541
A942408,A978599
A942408,A979773
A942408,A998444
A942408,A998619
A972249,A978035
A904893,A940190
A909782,A939586
A922864,A931376
A928600,A931376
A936583,A973681
A915226,A930537
A916222,A945550
A916222,A983243
A943270,A945550
A943270,A983243
A952516,A983243
A957235,A958174
A936582,A974352
A938922,A942844
A912018,A981405
A940598,A981405
A960708,A981405
A979535,A981405
A918479,A992986
A929726,A932177
A943219,A992986
A964844,A992986
A973497,A992986
A904997,A946356
A933222,A946356
A905001,A925108
A910243,A915659
A930294,A994839
A947734,A986557
A905021,A959318
A916399,A959318
A905023,A994051
A907213,A994051
A945244,A994051
A962045,A994051
A964408,A994051
A975158,A994051
A905075,A941689
A915085,A941689
A914948,A949966
A905617,A944541
A942727,A944541
A913560,A926632
A913560,A940269
A905088,A992307
A915726,A969674
A905097,A954973
A918212,A954973
A931693,A954973
A949253,A954973
A915581,A950592
A934772,A950592
A936206,A989011
A905351,A986951
A942609,A986951
A950580,A986951
A905128,A927900
A905128,A928411
A940533,A940615
A905130,A921483
A908087,A921483
A935893,A957767
A935893,A981543
A911099,A966041
A905186,A968864
A935440,A968864
A907548,A917557
A907548,A930985
A930085,A956881
A905203,A915500
A925718,A974513
A938474,A974513
A971408,A980374
A963671,A977828
A953204,A971004
A938550,A993601
A908163,A997611
A923896,A997611
A958931,A997611
A969023,A997611
A984780,A997611
A938897,A977771
A905246,A924812
A905921,A924812
A921086,A924812
A905258,A914227
A905258,A924607
A905258,A973779
A905258,A988099
A905258,A989793
A919539,A944753
A906212,A955347
A925686,A994610
A912716,A934352
A929026,A934352
A905290,A964512
A920345,A964512
A908573,A926206
A916266,A926305
A905344,A988498
A936695,A988498
A940063,A988498
A981503,A988498
A959364,A968403
A971662,A981149
A905412,A954924
A905424,A985894
A918654,A985894
A953812,A985894
A978579,A985894
A926903,A973530
A949408,A973530
A933074,A991824
A905444,A930193
A910069,A971445
A959146,A971445
A912345,A978372
A957471,A978372
A970098,A978372
A976321,A978372
A936002,A948808
A955986,A995530
A955986,A996839
A962144,A982290
A905543,A993827
A913308,A993827
A922901,A993827
A982998,A993827
A905555,A914237
A905555,A923521
A905594,A967939
A944504,A967939
A908338,A966759
A908718,A998176
A930374,A932446
A918591,A930366
A905616,A946567
A905643,A950220
A907721,A950220
A913526,A950220
A905656,A983173
A918653,A983173
A928964,A955794
A905668,A961368
A905685,A908478
A912355,A957801
A936940,A957801
A937736,A957801
A926939,A954818
A944418,A954818
A927086,A979443
A905743,A958575
A950493,A988041
A943441,A969599
A905760,A923992
A905760,A950011
A905760,A954573
A957068,A995909
A983136,A995909
A956072,A975934
A946082,A961132
A946082,A993997
A915368,A924331
A918652,A924331
A910817,A930283
A911318,A930283
A920045,A930283
A905802,A953688
A911317,A953688
A936063,A974849
A937224,A953688
A940124,A974849
A944290,A974849
A964560,A974849
A909417,A915383
A905830,A939687
A923640,A939687
A931297,A939687
A936578,A939687
A905837,A907620
A905843,A918273
A910795,A918273
A914868,A918273
A916099,A918273
A921810,A953312
A940364,A953312
A905859,A932375
A905859,A953760
A926223,A986810
A937849,A986810
A948588,A986810
A970400,A986810
A905873,A997408
A908411,A997408
A932929,A992571
A959202,A992571
A977184,A992571
A905897,A988016
A952322,A988016
A919846,A994429
A937381,A994429
A939446,A994429
A964465,A994429
A943742,A950832
A907693,A981719
A905912,A922978
A905913,A907811
A905913,A973474
A905920,A932871
A937349,A941704
A908146,A986489
A909195,A986489
A942320,A986489
A947625,A986489
A959259,A986489
A925313,A939127
A937789,A939127
A988308,A993828
A991892,A993828
A905962,A918882
A958948,A983965
A905978,A948338
A905978,A962327
A905978,A963619
A905978,A964107
A905978,A986463
A905978,A993758
A954664,A977538
A962479,A977538
A930494,A942704
A936116,A942704
A906013,A927023
A915664,A971162
A907837,A981854
A925736,A981854
A932731,A981854
A951295,A981854
A956479,A981854
A956708,A981854
A975354,A981854
A915408,A976866
A915408,A980062
A915408,A985003
A927467,A976866
A927467,A980062
A927467,A985003
A940334,A976866
A940334,A980062
A940334,A985003
A943596,A978113
A954508,A978113
A906100,A967876
A935594,A967876
A906105,A927216
A917031,A989787
A918451,A989787
A937950,A989787
A954186,A989787
A917178,A928459
A917178,A950734
A917178,A994197
A951238,A994197
A906147,A946530
A906147,A973088
A906147,A983053
A906147,A993307
A916690,A968688
A919901,A968688
A940389,A968688
A911782,A921720
A918126,A921720
A908453,A946904
A908504,A968690
A908504,A986549
A917054,A946904
A937608,A946904
A939197,A968690
A939197,A986549
A943964,A986227
A986014,A986227
A906199,A947503
A975430,A977081
A924501,A962494
A937869,A962494
A906219,A969446
A930352,A969446
A957555,A969446
A906228,A950653
A926463,A950653
A906233,A972169
A906233,A981511
A968974,A972169
A968974,A981511
A952168,A970215
A966975,A970215
A906255,A996788
A967718,A996788
A942733,A978027
A906262,A930541
A910856,A998762
A968330,A998762
A922882,A983792
A911135,A981009
A925191,A946497
A936955,A985702
A908984,A932198
A924537,A932198
A917024,A987878
A950645,A952539
A906334,A951129
A906334,A956877
A906334,A978841
A917806,A956673
A930527,A956673
A915680,A929161
A925974,A986386
A913320,A989338
A926371,A989338
A956538,A989338
A987817,A989338
A997171,A997323
A930487,A945293
A930487,A995534
A931865,A950778
A935363,A950778
A906423,A920207
A906423,A940174
A926799,A940174
A906437,A988729
A906448,A943139
A906453,A958417
A906465,A993605
A928315,A993605
A971781,A993605
A989542,A993605
A992079,A993605
A910678,A949403
A931257,A949403
A928209,A975448
A933501,A975448
A937798,A975448
A928403,A944009
A906507,A964873
A908636,A964873
A922023,A964873
A930961,A964873
A957094,A964873
A906545,A954058
A922128,A967371
A928647,A967371
A960424,A967371
A910755,A928997
A910755,A950370
A910755,A975703
A910755,A978106
A925460,A928997
A925460,A950370
A925460,A975703
A925460,A978106
A929676,A980661
A929676,A981656
A950054,A954854
A970568,A975703
A970568,A978106
A979986,A981656
A907558,A937615
A906608,A924362
A919396,A924362
A906621,A909185
A927094,A943231
A906678,A927118
A921867,A927118
A912159,A925429
A929532,A957634
A933448,A957634
