tuple_id_1,tuple_id_2
A904696,A907532
A904696,A932456
A904697,A934068
A904700,A960209
A904700,A992306
A904700,A996504
A904702,A927460
A904702,A932548
A904703,A925779
A904703,A933099
A904703,A948773
A904703,A961627
A904703,A963792
A904703,A966468
A904703,A967331
A904703,A983307
A904704,A919272
A904704,A942519
A904704,A961861
A904705,A922137
A904705,A980100
A904706,A933664
A904706,A945887
A904706,A996153
A904707,A962389
A904707,A970962
A904707,A996436
A904708,A914966
A904708,A954266
A904710,A917152
A904710,A918521
A904710,A920988
A904710,A942461
A904712,A910190
A904712,A959293
A904712,A962333
A904712,A988348
A904714,A906704
A904714,A925560
A904714,A970548
A904714,A985013
A904715,A916130
A904715,A946860
A904715,A961477
A904716,A954341
A904716,A990980
A904718,A943302
A904718,A989003
A904719,A924488
A904719,A943754
A904719,A971279
A904719,A971385
A904719,A983482
A904721,A918352
A904721,A975561
A904721,A976453
A904723,A927303
A904723,A929176
A904724,A930535
A904724,A965554
A904724,A984461
A904724,A987592
A904725,A933440
A904725,A959624
A904726,A989190
A904727,A970310
A904728,A918192
A904728,A947812
A904730,A951737
A904731,A971132
A904731,A971332
A904733,A991630
A904734,A955268
A904736,A916657
A904736,A934693
A904736,A938166
A904736,A950907
A904736,A956011
A904736,A973956
A904737,A994802
A904739,A982647
A904742,A911457
A904742,A931201
A904742,A961638
A904743,A940139
A904743,A945127
A904744,A907610
A904744,A920970
A904744,A947026
A904744,A949555
A904744,A949631
A904744,A979778
A904745,A905855
A904745,A945785
A904745,A984533
A904747,A952535
A904749,A959631
A904749,A989039
A904749,A997010
A904750,A919837
A904750,A954671
A904750,A963061
A904750,A984169
A904752,A905500
A904752,A908074
A904752,A949340
A904752,A971723
A904753,A913842
A904753,A914285
A904753,A932525
A904753,A955736
A904754,A941909
A904754,A956438
A904754,A958234
A904754,A962047
A904754,A978701
A904756,A941771
A904756,A943089
A904756,A946021
A904756,A980630
A904757,A911286
A904757,A947363
A904757,A971808
A904757,A972222
A904759,A920918
